Año,Día,Localidad,Latitud,Longitud,Título,Muertos,Heridos,Detenidos,Liberados,Decomisos
2012, 6 de Agosto     , Monterrey ,25.75397,-100.376459, Abate la AEI a dos ladrones de veh&#237;culos ,0,0,0,0,0
2012, 5 de Agosto     , Monterrey ,25.640679,-100.295959,  Lo asesinan en bald&#237;o de un tiro en la cabeza  ,0,0,0,0,0
2012, 4 de Agosto     , Monterrey ,25.669344,-100.368075,  Le permiten correr y lo matan a tiros  ,0,0,0,0,0
2012, 3 de Agosto     , Monterrey ,25.683254,-100.342772,  Dejan encajuelado en Col. Chepevera  ,0,0,0,0,0
2012, 2 de Agosto     , Monterrey ,25.698946,-100.286656,  Levantan a pareja; ejecutan a mujer  ,0,0,0,0,0
2012, 2 de Agosto     , Monterrey ,25.681137,-100.305176, Vuelven a bar las balaceras; muere mesero  ,0,0,0,0,0
2012, 1 de Agosto     , Monterrey ,25.738828,-100.329895,  Ejecutan a menor con discapacidad  ,0,0,0,0,0
2012, 1 de Agosto     , Monterrey ,25.681137,-100.305176,  Asesinan sicarios a mujer tras perseguirla 5 cuadras  ,0,0,0,0,0
2012, 1 de Agosto     , Monterrey ,25.699509,-100.35108, Baja de camioneta; lo matan a balazos  ,0,0,0,0,0
2012, 31 de Julio      , Monterrey ,26.491162,-100.269642, Matan a hombre; le amputan mano  ,0,0,0,0,0
2012, 31 de Julio      , Monterrey ,25.676402,-100.356807,  Tiran a ejecutado detr&#225;s de iglesia  ,0,0,0,0,0
2012, 29 de Julio      , Monterrey ,25.662694,-100.276875, Ejecutan a hombre afuera de escuela ,0,0,0,0,0
2012, 29 de Julio      , Monterrey ,25.640679,-100.295959, Asesinan a hombre que sali&#243; del Cereso ,0,0,0,0,0
2012, 28 de Julio      , Monterrey ,25.685227,-100.38004, Ejecutan a mesero de 7 tiros ,0,0,0,0,0
2012, 27 de Julio      , Monterrey ,25.647047,-100.216949, Ejecutan a taxista tras persecuci&#243;n ,0,0,0,0,0
2012, 27 de Julio      , Monterrey ,25.670578,-100.285327, Atacan casino: lanzan granada y rafaguean ,0,0,0,0,0
2012, 26 de Julio      , Monterrey ,25.77746,-100.4177, Ejecutan sicarios a padre y su hijo ,0,0,0,0,0
2012, 26 de Julio      , Monterrey ,25.698724,-100.331531, Intentan matar a dos polic&#237;as de Monterrey ,0,0,0,0,0
2012, 26 de Julio      , Monterrey ,25.681137,-100.305176, Detienen a tres de c&#233;lula por plagios y asesinatos ,0,0,0,0,0
2012, 25 de Julio      , Monterrey ,25.65878,-100.326998, Causa balacera movilizaci&#243;n en Loma Larga ,0,0,0,0,0
2012, 25 de Julio      , Monterrey ,25.655086,-100.211921, Ejecutan a polic&#237;a; abaten a pistolero ,0,0,0,0,0
2012, 24 de Julio      , Monterrey ,25.689681,-100.312557, Ejecutan a un travesti de balazo en la cabeza ,0,0,0,0,0
2012, 24 de Julio      , Monterrey ,25.791101,-100.378797, Discute frente a su casa y lo asesinan ,0,0,0,0,0
2012, 23 de Julio      , Monterrey ,25.591694,-100.242047, Pasa una bala cerca de menor ,0,0,0,0,0
2012, 21 de Julio      , Monterrey ,25.740316,-100.323844, Declara que la droga era para un pastel ,0,0,0,0,0
2012, 21 de Julio      , Monterrey ,25.62872,-100.280006, LO MATAN EN LA COCINA ,0,0,0,0,0
2012, 20 de Julio      , Monterrey ,25.683738,-100.276031, Ejecutan a hombre en una camioneta ,0,0,0,0,0
2012, 20 de Julio      , Monterrey ,25.68443,-100.274735, Huyen tras levant&#243;n en un table dance ,0,0,0,0,0
2012, 19 de Julio      , Monterrey ,25.672164,-100.31878, Capturan a halcones en veh&#237;culo robado ,0,0,0,0,0
2012, 18 de Julio      , Monterrey ,25.696858,-100.351267, Balean ministeriales a dos federales con auto robado ,0,0,0,0,0
2012, 18 de Julio      , Monterrey ,25.647736,-100.307193, Sobrevive a 2 tiros en la cabeza ,0,0,0,0,0
2012, 18 de Julio      , Monterrey ,25.733982,-100.32874, Capturan a 8 por narcomenudeo ,0,0,0,0,0
2012, 18 de Julio      , Monterrey ,25.635662,-100.293724, Caen por 3 homicidios ,0,0,0,0,0
2012, 17 de Julio      , Monterrey ,25.685197,-100.346281, Hallan a hombre muerto a golpes en terreno bald&#237;o ,0,0,0,0,0
2012, 17 de Julio      , Monterrey ,25.699509,-100.35108, Balean domicilio; lesionan a ni&#241;os ,0,0,0,0,0
2012, 16 de Julio      , Monterrey ,25.65872,-100.317516, Ejecutan a joven en su domicilio ,0,0,0,0,0
2012, 15 de Julio      , Monterrey ,25.640115,-100.301383, Lo asesinan de un balazo en la cabeza ,0,0,0,0,0
2012, 15 de Julio      , Monterrey ,25.704413,-100.281747, Matan de una pu&#241;alada a ex reo del Topo Chico ,0,0,0,0,0
2012, 13 de Julio      , Monterrey ,25.688177,-100.31471, Corre y salva su vida de ataque a balazos ,0,0,0,0,0
2012, 13 de Julio      , Monterrey ,25.723325,-100.344878, Halconea celador desde el Penal ,0,0,0,0,0
2012, 12 de Julio      , Monterrey ,25.674607,-100.32999, Ejecutan de 2 tiros a joven en el Centro ,0,0,0,0,0
2012, 11 de Julio      , Monterrey ,25.684347,-100.30067, Ejecutan a 2 tr&#225;nsitos cerca de decapitado ,0,0,0,0,0
2012, 11 de Julio      , Monterrey ,25.767916,-100.375565, Entran a casa; ejecutan a tres ,0,0,0,0,0
2012, 11 de Julio      , Monterrey ,25.686033,-100.3186, Acribillan a joven en la Industrial ,0,0,0,0,0
2012, 9 de Julio      , Monterrey ,25.626434,-100.282799, Escapan dos asaltantes tras impactar 4 autos ,0,0,0,0,0
2012, 9 de Julio      , Monterrey ,25.642462,-100.286633, Movilizan a Polic&#237;a narcomantas ,0,0,0,0,0
2012, 9 de Julio      , Monterrey ,25.656142,-100.299261, Deja persecuci&#243;n da&#241;os y a 4 polic&#237;as lesionados ,0,0,0,0,0
2012, 8 de Julio      , Monterrey ,25.698946,-100.286656, Balean a 2 en la Moderna ,0,0,0,0,0
2012, 7 de Julio      , Monterrey ,25.681137,-100.305176, Va a la tienda y lo ejecutan ,0,0,0,0,0
2012, 6 de Julio      , Monterrey ,25.708256,-100.320322, Y ahora abate a 2 Polic&#237;a Ministerial ,0,0,0,0,0
2012, 3 de Julio      , Monterrey ,25.686033,-100.3186, Caen 2 tras ataque contra polic&#237;as ,0,0,0,0,0
2012, 2 de Julio      , Monterrey ,25.768083,-100.406868, Abate la Ministerial a cuatro en balacera ,0,0,0,0,0
2012, 29 de Junio      , Monterrey ,25.673211,-100.309201, Ejecutan aprehensi&#243;n a sicario por halconear convoy policiaco ,0,0,0,0,0
2012, 27 de Junio      , Monterrey ,25.684914,-100.305835, Plagian golpean y roban,0,0,0,0,0
2012, 27 de Junio      , Monterrey ,25.684635,-100.266673, Encajuelan a ejecutado ,0,0,0,0,0
2012, 25 de Junio      , Monterrey ,25.670592,-100.365176, Lo ejecuta grupo armado atr&#225;s de Iglesia Del Carmen ,0,0,0,0,0
2012, 25 de Junio      , Monterrey ,25.65872,-100.317516, Hallan tirado un cad&#225;ver con 2 tiros en la cabeza ,0,0,0,0,0
2012, 24 de Junio      , Monterrey ,25.80103,-100.39261, Muere en tiroteo ,0,0,0,0,0
2012, 24 de Junio      , Monterrey ,25.676579,-100.318296, Le cubren el rostro luego le dan un tiro,0,0,0,0,0
2012, 24 de Junio      , Monterrey ,25.635662,-100.293724, Lo matan de un escopetazo ,0,0,0,0,0
2012, 23 de Junio      , Monterrey ,25.735762,-100.403296, Investigan una muerte ,0,0,0,0,0
2012, 23 de Junio      , Monterrey ,25.649859,-100.308397, Ejecutan sicarios a dos levantados ,0,0,0,0,0
2012, 23 de Junio      , Monterrey ,25.699443,-100.341369, Encuentran a encajuelado en Mitras ,0,0,0,0,0
2012, 23 de Junio      , Monterrey ,25.645938,-100.286305, Lo asesinan en la Altavista  ,0,0,0,0,0
2012, 22 de Junio      , Monterrey ,25.664428,-100.323372, Hallan camioneta baleada en el R&#237;o Santa Catarina ,0,0,0,0,0
2012, 21 de Junio      , Monterrey ,25.65872,-100.317516, Lo asesinan pistoleros cuando iba a su casa ,0,0,0,0,0
2012, 21 de Junio      , Monterrey ,25.549624,-100.224292, Hallan restos calcinados ,0,0,0,0,0
2012, 21 de Junio      , Monterrey ,25.657346,-100.409067, Asesinan a tres j&#243;venes cerca de la Polic&#237;a Regia ,0,0,0,0,0
2012, 20 de Junio      , Monterrey ,25.640115,-100.301383, Lo ejecutan de 2 balazos ,0,0,0,0,0
2012, 19 de Junio      , Monterrey ,25.708256,-100.320322, Hallan granadas a narcomenudista ,0,0,0,0,0
2012, 18 de Junio      , Monterrey ,25.665384,-100.295772, Ejecutan sicarios a 4 en la Caracol ,0,0,0,0,0
